exactTitle,beatstarsTrackId,beatstarsEmbedUrl,beatstarsTrackUrl,extractionStatus,extractionSource,extractedAt
"PHONK RAPTOR","24225531","https://www.beatstars.com/embed/track?id=24225531","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.010Z"
"HARDCORE PHONK 2098","24276595","https://www.beatstars.com/embed/track?id=24276595","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"Neon Drill (Synthwave DRILL)","24276601","https://www.beatstars.com/embed/track?id=24276601","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"CYBERCA$H","24276610","https://www.beatstars.com/embed/track?id=24276610","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"AUTOPILOT","24276615","https://www.beatstars.com/embed/track?id=24276615","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"WAR N FURIOUS","24276620","https://www.beatstars.com/embed/track?id=24276620","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"Waiting for The Lover","24276625","https://www.beatstars.com/embed/track?id=24276625","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"highway","24276630","https://www.beatstars.com/embed/track?id=24276630","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"808s and Dance (Nicki Minaj, Ice Spice, Doja Cat, Club)","24276635","https://www.beatstars.com/embed/track?id=24276635","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"BLADEPHONK 2098","24276590","https://www.beatstars.com/embed/track?id=24276590","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"SYN808","24276585","https://www.beatstars.com/embed/track?id=24276585","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"SHOGUN'S DAUGHTER 2098","24276580","https://www.beatstars.com/embed/track?id=24276580","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"DESYNC","24276640","https://www.beatstars.com/embed/track?id=24276640","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"CYBER RUNNER","24276645","https://www.beatstars.com/embed/track?id=24276645","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"808 Commander","24276650","https://www.beatstars.com/embed/track?id=24276650","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
"808 Danger Line","24276655","https://www.beatstars.com/embed/track?id=24276655","https://www.beatstars.com/virzyguns/tracks","verified","track-widget-generator","2026-07-24T15:21:43.012Z"
